name,place ID,coordinates,business types,n_restaurants,n_grocery,n_retail,n_entertainment,n_religious,n_industry
Draeger Ignition Interlock,ChIJhfcVQDf0XIYRfSULTohXrYo,"29.4480453, -98.43068219999999","['car_repair', 'point_of_interest', 'establishment']",2,0,0,0,0,0
Bynum Seventh-day Adventist Church Spanish,ChIJK7VTU4VZXIYRc8SnRTKRMEg,"29.3630457, -98.5611217","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJNcCpzaj2XIYR6FgnBDX7qPI,"29.4249464, -98.40493040000001","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
St Dominic Church,ChIJWdPqeLNdXIYRvgIiyk_Wqq8,"29.46712999999999, -98.600016","['church', 'place_of_worship', 'point_of_interest', 'establishment']",16,0,0,0,0,0
Velgon Foods LLC,ChIJ645XJuxfXIYRVdV6adTr4g0,"29.4994312, -98.49866659999999","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
St. Jude Catholic Church,ChIJa_z61bZeXIYRM7RBbamBMMY,"29.43, -98.5547222","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Kraft Foods Inc,ChIJFSH8ZQBgXIYRuvuztSiV9fM,"29.5187542, -98.4863778","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Buena Voluntad Baptist Church,ChIJt31ZmzZfXIYRoiRRbBqs1So,"29.430229, -98.509687","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Mission San Francisco De La Espada Catholic Church,ChIJMecaSTf4XIYRAlw51UjUPZQ,"29.3177592, -98.45011389999999","['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",0,0,0,0,0,0
Bohanan's Prime Steaks and Seafood,ChIJbYly-VJfXIYR47d6ljPzzxQ,"29.4267169, -98.4903776","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Small Planet eBikes SATX,ChIJKxC9FqVYXIYRw4NriD3Z34U,"29.4117422, -98.493586","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Our Lady of Grace Church,ChIJJaznuGRfXIYRT-NXwFWpVsE,"29.458981, -98.4910637","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJg-etVZlZXIYRAh6AH_kU8lU,"29.369254, -98.5554923","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",16,0,0,0,0,0
House of Prayer Lutheran Church,ChIJAyn887hgXIYRq1tD9wg65KQ,"29.5342765, -98.5582388","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Wen Wah Chinese Restaurant,ChIJI-VXRnX2XIYR7oYnWmErSL8,"29.4260859, -98.4615809","['restaurant', 'food', 'point_of_interest', 'establishment']",19,0,0,0,0,0
Family Dollar,ChIJbYXNbEdgXIYRuSYYn9AXEsI,"29.5485866, -98.5079707","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
Hooters,ChIJux_L21JnXIYRGNztKhjtvls,"29.521087, -98.5728681","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
la Madeleine French Bakery & Cafe Huebner Oaks,ChIJmR5lgSVnXIYROhN0prqY_qM,"29.54810999999999, -98.58262099999999","['restaurant', 'bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Bienvenidos Iglesia Rios De Agua Viva,ChIJZQeJIVNZXIYR6TGzeNoXsFg,"29.419268, -98.5641934","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Goodyear - Mike's Downtown Garage,ChIJh8vIEbJYXIYRSv7KPrejQAI,"29.420742, -98.4965521","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Subway,ChIJg2u16Af4XIYRxu14HP7WOPA,"29.3228589, -98.4794625","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Lone Star Chrysler Dodge Jeep RAM,ChIJubDlmvpZXIYRvM0WxduYG1M,"29.3396587, -98.56347459999999","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",2,0,0,0,0,0
St. Matthew's UMC Day School,ChIJ1aEpFteKXIYRcASvlKUl29U,"29.5303649, -98.44593809999999","['church', 'place_of_worship', 'school', 'point_of_interest', 'establishment']",4,0,0,0,0,0
Our Lady of Angels School,ChIJUUTBw1RYXIYR5e3H65hQLaY,"29.3727348, -98.5266843","['church', 'place_of_worship', 'point_of_interest', 'establishment']",13,0,0,0,0,0
Shepherd of the Hills Lutheran Church,ChIJJ2rhkO1dXIYR_iB8VomC-7g,"29.4982392, -98.589254","['church', 'place_of_worship', 'point_of_interest', 'establishment']",17,0,0,0,0,0
Bible Baptist Church,ChIJbQRB80BYXIYRmJYeEB5Vkb8,"29.3564005, -98.50932859999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Valero,ChIJiUKJHExZXIYR06rfKZRtlUU,"29.4155917, -98.556466","['gas_station', 'car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Magic Tire Sales,ChIJAQAkczmKXIYRv2wS3EehYwo,"29.4262803, -98.4935402","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Bush's Chicken,ChIJM7vJBL5ZXIYRZjrxAqA8fWs,"29.3578608, -98.54978229999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Immaculate Heart of Mary Catholic Church,ChIJQbgW9LNYXIYRukZ6UrjxJtU,"29.4197546, -98.50054709999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Holy Name Catholic Church,ChIJRQTz5BT3XIYRRWCYvXFOU9g,"29.3617161, -98.4215035","['church', 'place_of_worship', 'point_of_interest', 'establishment']",7,0,0,0,0,0
Alamo Bike Shop,ChIJP10QWlpfXIYR4MIdqS2yBQE,"29.4367493, -98.508066","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,1,0,1,0,0
Walmart Supercenter,ChIJMeIU1Y1eXIYR2KctlqUqTt0,"29.45853589999999, -98.55338959999999","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
Magys Tamales & Barbacoa,ChIJTafmZx1cXIYRCNg_p0MecsU,"29.4328695, -98.5725738","['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Mission Trails RV,ChIJjY7eGG_3XIYRvggTH6UK9HE,"29.3510378, -98.42583250000001","['rv_park', 'lodging', 'car_dealer', 'car_repair', 'storage', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Sasha's European Market,ChIJLy8UuR9eXIYR7m4A_vdo-vA,"29.5127083, -98.5515939","['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",18,0,0,0,0,0
DICK'S Sporting Goods,ChIJP1NdobVZXIYRmo_INfsPb1Q,"29.3550676, -98.5289335","['shoe_store', 'bicycle_store', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,1,0,0
Rodriguez Radiator Shop,ChIJpdmGzrBeXIYR6FsEFRC6YO4,"29.4306859, -98.55607859999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
San Antonio Bike Shop,ChIJZSTeZPH1XIYRSWrjUpx1axs,"29.4428908, -98.4766361","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Mr. & Mrs. G's Homecooking,ChIJsdtdMNH2XIYRW-1aPeRwnhQ,"29.3911084, -98.40419159999999","['restaurant', 'food', 'point_of_interest', 'establishment']",19,0,0,0,0,0
Target Grocery,ChIJW-V9u2NfXIYRUXpmnrt22Ik,"29.4928534, -98.55134249999999","['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Brothers Auto Parts,ChIJM4ZBohtaXIYRjolGCogq8cg,"29.3427059, -98.5790624","['car_repair', 'point_of_interest', 'store', 'establishment']",2,0,0,0,0,0
Ancira Winton Chevrolet,ChIJs8cKUb1dXIYRfBn0CAbH_eg,"29.4857959, -98.605536","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Car-X Tire & Auto,ChIJIeMFR29nXIYR3n5seDZP1qE,"29.522652, -98.60030719999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Martinez Tire & Muffler Shop,ChIJ5WoMrC-LXIYRLRl21W67_2I,"29.5295747, -98.43201979999999","['car_repair', 'point_of_interest', 'store', 'establishment']",8,0,0,0,0,0
Discount Tire,ChIJnZxtfphdXIYRKbVh6bo8D3s,"29.4875359, -98.6075777","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Mission San Jose Church Parish Offices,ChIJzWSRpd73XIYRD_YdnLirnss,"29.36217340000001, -98.4787698","['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Burger King,ChIJM8cNynH3XIYRoFmVsJtk4YI,"29.3515405, -98.4304726","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
O'Reilly Auto Parts,ChIJBYx7pLReXIYR_rBCQJAQ-18,"29.4164716, -98.55638189999999","['electronics_store', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
4 M Auto Supply Inc,ChIJYbTKfgFcXIYRZ40Fg7IvOo8,"29.4262449, -98.5747044","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
St. Francis Episcopal Church,ChIJGXdUNrRgXIYR_qb37bYtp54,"29.5319142, -98.5681872","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Redeemer Presbyterian Church,ChIJkWGGU5f1XIYR6TemJYGpWT0,"29.432893, -98.48903","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Texas Alternator Starter Service,ChIJnW7aQuPzXIYRIhEU5U6WIzg,"29.4367267, -98.3838207","['car_repair', 'point_of_interest', 'store', 'establishment']",3,0,0,0,0,0
La Fonda On Main,ChIJ-QHSFWZfXIYRsvm79z3Fvc4,"29.4525282, -98.49416889999999","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Ancira Nissan,ChIJ_4MRBTNnXIYRe5wYtKke8U0,"29.5434863, -98.5753763","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Charles A James Bicycle Shop,ChIJ6eMp9VJfXIYRwXDfo1JLdwQ,"29.427969, -98.49395899999999","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Myung Ga Won,ChIJS87S-YX0XIYRJGMsKX-6ACw,"29.483679, -98.407395","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Paloma Blanca Mexican Cuisine,ChIJgzjFa3P1XIYRxMjBPN1YmlY,"29.4797671, -98.4635457","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Luby's,ChIJbVDlWkpZXIYRNF3ovkQLR90,"29.417507, -98.55375","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Golden Wok,ChIJgX5TabJgXIYRvx86OFZH8aI,"29.5245521, -98.5678849","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Jerry's Auto Services,ChIJ60hXyBhYXIYR52GUodOQV4E,"29.3385189, -98.5042247","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",18,0,0,0,0,0
Kingdom Hall of Jehovah's Witnesses,ChIJxx8NRVr2XIYRVywoxdjZOAU,"29.3955195, -98.4479874","['church', 'place_of_worship', 'point_of_interest', 'establishment']",6,0,0,0,0,0
San Antonio Used Auto Parts,ChIJD7TYlQtaXIYRLGZL3dBiSSE,"29.3310222, -98.5914459","['car_repair', 'point_of_interest', 'store', 'establishment']",0,0,0,0,0,0
Target Grocery,ChIJc-eYxR9hXIYRNNBCmHZCdKI,"29.5165335, -98.505023","['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
The Republic of Texas Restaurant,ChIJidh_fqtYXIYRERJze23-ahk,"29.42425359999999, -98.4884141","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Subway,ChIJt2hJJKz3XIYRKv2B4fwfXlE,"29.377027, -98.4471525","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",12,0,0,0,0,0
Gonzalez Auto Parts #07,ChIJpYr6hpZZXIYRwc0ytHxxACM,"29.35817699999999, -98.553112","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Hub Mrkt,ChIJmYZ--yRZXIYRYx30c0t8Z8Q,"29.411729, -98.49357200000001","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Alamo Heights United Methodist Church,ChIJCXCyLUP1XIYRwg27uAXACto,"29.49852479999999, -98.473418","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,1,1,0,0
Family Dollar,ChIJo_2t-jpdXIYRwb0JoRzlUm0,"29.4885179, -98.6003502","['supermarket', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,1,0,0
San Antonio Auto Parts Surplus,ChIJpZHtU92MXIYR8heSEwJKlIQ,"29.5321273, -98.39165039999999","['car_repair', 'point_of_interest', 'establishment']",4,0,0,0,0,0
Ruben's Garage,ChIJYbTKfgFcXIYRy1ds9YQYWaI,"29.4258254, -98.5757502","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
PROCARE COLLISION CENTER - FAIRDALE,ChIJu90u4YT0XIYRMW_fka4Fk_4,"29.4864169, -98.4045664","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
The Barbecue Station,ChIJf5W0Cdb0XIYR_OJVSkJZmsE,"29.51484, -98.439495","['restaurant', 'food', 'point_of_interest', 'establishment']",5,0,0,0,0,0
Taqueria Jalisco #5,ChIJWWTfhbFZXIYRfDeKyUMNlVk,"29.3619253, -98.5335995","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Big O Tires,ChIJpWTOorxdXIYR0bZkPHRCj30,"29.4820711, -98.6039311","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Shisha Cafe,ChIJRZUT32ZnXIYReqzJUDZEfuM,"29.51682989999999, -98.5976084","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJ9Zw9mdZdXIYRPWFSV80G7o0,"29.4725232, -98.5757502","['supermarket', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",16,0,0,0,0,0
Little Caesars Pizza,ChIJOcd0p05ZXIYR-t83ij-UKcw,"29.4152145, -98.5566558","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
St. John's Lutheran Church,ChIJu4ChCqxYXIYR-uMBVgIWlwI,"29.4203703, -98.4896916","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
North Park Lincoln,ChIJEbiQlw5gXIYRpxVWtuz_XV4,"29.524297, -98.499586","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Biga on the Banks - San Antonio Riverwalk Restaurant,ChIJU9YM56xYXIYRA5hAR9gMf94,"29.423704, -98.492007","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJSZpoMRhYXIYR-YsGz83wpjE,"29.3433699, -98.50288669999999","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",18,0,0,0,0,0
Circle K,ChIJG9SjHAJcXIYRFQyJYLF7wyU,"29.4262376, -98.5727307","['gas_station', 'convenience_store', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Steadfast Apostolic Church,ChIJQzc7qySKXIYRuinDUJcYndI,"29.409439, -98.40882479999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",10,0,0,0,0,0
Papa's Burgers In God We Trust,ChIJu3vWAApcXIYRdkXlOf5LdVY,"29.4125019, -98.5740486","['restaurant', 'food', 'point_of_interest', 'establishment']",10,0,0,0,0,0
United Auto Parts,ChIJ14_S_YT0XIYR-BrOWfRPSf0,"29.4859345, -98.40437759999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
"Rent-A-Tire Custom Wheels & Tires in San Antonio, TX",ChIJI1w8Jc_2XIYRo4-jMSlieFE,"29.4015726, -98.4046752","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Money Mart Pawn & Jewelry 29,ChIJwyPPGwb4XIYROeA17-7VOJI,"29.3228557, -98.4798711","['jewelry_store', 'finance', 'bicycle_store', 'electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
The Esquire Tavern,ChIJSzUPzqxYXIYRVJL3H4NAr14,"29.4247082, -98.4917718","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Formosa Garden,ChIJV70yjDT1XIYRlKRfIyRobZk,"29.5170153, -98.45795419999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Bring Your Own Parts,ChIJlV2bFHZdXIYRyRmVgWf9Kdw,"29.4934388, -98.61716539999999","['car_repair', 'point_of_interest', 'establishment']",18,1,0,1,0,0
Tacos Martinez,ChIJkSYBFrBeXIYR2Zs2mWzphQM,"29.4310941, -98.5601506","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJg0uk3GjzXIYRpqFMA_WJLqM,"29.4960267, -98.3838621","['supermarket', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",6,0,0,0,0,0
Korean American Cultural Center of San Antonio,ChIJ87mWouz0XIYRhRY7V3u1YGo,"29.492321, -98.4167861","['church', 'place_of_worship', 'point_of_interest', 'establishment']",6,0,0,0,0,0
Iglesia Ni Cristo - Locale of Universal City,ChIJaSc5FqCSXIYRlvigqNl5dO8,"29.4294348, -98.4075234","['church', 'place_of_worship', 'point_of_interest', 'establishment']",18,0,0,0,0,0
Tieken Auto Services,ChIJHaKPJqj2XIYRbmn1sCQ74Ak,"29.430222, -98.40601199999999","['car_repair', 'point_of_interest', 'store', 'establishment']",18,0,0,0,0,0
Good Shepherd Lutheran Church,ChIJs-vNS6b3XIYR7jaaQtEQUr0,"29.3698778, -98.4436705","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Yang's Auto Repair,ChIJpZHtU92MXIYRz9Gn88pkBso,"29.526262, -98.393987","['car_repair', 'point_of_interest', 'establishment']",4,0,0,0,0,0
Caliber Collision,ChIJXb9d1Zv3XIYRj1twtCY03RI,"29.3544314, -98.44995589999999","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJu9vl11VaXIYRY8GbjV8D-eg,"29.3651624, -98.6161104","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",2,0,0,0,0,0
Freedom Fellowship Church International,ChIJ_bKm9CFeXIYRxClWL3JT54M,"29.5169122, -98.5472726","['church', 'place_of_worship', 'point_of_interest', 'establishment']",12,0,0,0,0,0
A Touch of Holy Land,ChIJEVQIqbVZXIYR2yorSXqp_Es,"29.3556933, -98.5308465","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Bike World,ChIJjyO-KHVYXIYRh2bdRlLCOUc,"29.3570446, -98.4867332","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
The Cheesecake Factory,ChIJiRijxglgXIYRQmyU2owRL_Q,"29.5189203, -98.49545479999999","['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Pyron Ave Baptist Church,ChIJGRnJE3ZYXIYRGxaQMbx0Y20,"29.363198, -98.485346","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
"Hydradyne, LLC",ChIJQ9qkzjD0XIYRALv2WG79yUc,"29.353967, -98.4019782","['car_repair', 'point_of_interest', 'store', 'establishment']",1,0,0,0,0,0
St. George Episcopal Church,ChIJXeoAuWNgXIYRl7IxWhmzRaU,"29.5312243, -98.52365019999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",18,0,0,0,0,0
First Presbyterian Church,ChIJPT8xh1VfXIYRHHgyK9EjfXM,"29.4289208, -98.4840048","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Family Dollar,ChIJmaBmGhtcXIYRZXPHxiiIeEQ,"29.4329384, -98.57987109999999","['supermarket', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",15,0,0,0,0,0
Inspirational Church,ChIJL2mF1bb2XIYRaLYHeTObukM,"29.42333319999999, -98.40355579999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",18,0,0,0,0,0
Herstyler,ChIJEVQIqbVZXIYRBE9zAo3219Q,"29.3554459, -98.5312117","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Olive Garden Italian Restaurant,ChIJkbKUxaldXIYReFQGlscHF0E,"29.4711614, -98.6152194","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
El Pollo Loco,ChIJ-cRxEbdeXIYRKAEGDnfHEpk,"29.43098600000001, -98.55377999999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
USA Auto Repair,ChIJD9LB9Ev2XIYRumXc4Wd4nSk,"29.3853758, -98.4571771","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
First Baptist Church of San Antonio,ChIJ_9PBflZfXIYRA7M2ysoSb_A,"29.431094, -98.4870696","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
First United Pentecostal Church,ChIJIZRmVHX3XIYRwAM3HuxAdIA,"29.3592165, -98.44008199999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Family Dollar,ChIJB1WTTy73XIYRI60t45ASF1U,"29.3753125, -98.4039026","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",6,0,0,0,0,0
AutoZone Auto Parts,ChIJFYS3lHT2XIYRcV7az3EHShs,"29.4229646, -98.4605737","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Alanis Radiator Service,ChIJcQ-Dzk5ZXIYRq4SA4Jgl2LI,"29.41338, -98.555955","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Pappadeaux Seafood Kitchen,ChIJYSzf5ABgXIYRJoQwCpReeOA,"29.5196243, -98.48814809999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
AMF Ponderosa Lanes,ChIJqaUJEgr3XIYRwHtRAji6NPA,"29.364425, -98.439003","['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Family Dollar,ChIJXc-PJXBYXIYRvZ9X3om7PV8,"29.3653011, -98.4949982","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
Little Church of La Villita,ChIJTXSlkKtYXIYR26IHQ34hO1U,"29.421639, -98.4885719","['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Jim's Loop Auto Repair,ChIJOTKv-OL3XIYR2YxTVdpoDig,"29.3479182, -98.48182919999999","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Red Lobster,ChIJ81AK5VfzXIYREQugVkvQQ0g,"29.512894, -98.396231","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Byrider San Antonio South,ChIJ49eAHr5ZXIYRa6yIKgS7Ls0,"29.35689899999999, -98.549942","['finance', 'car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Argen Glass,ChIJafmmhDD0XIYRQpNHHh2JIkk,"29.4450049, -98.42721979999999","['car_repair', 'general_contractor', 'point_of_interest', 'establishment']",2,0,0,0,0,0
Iglesia de la fe en Cristo Jesús agua de vida,ChIJQ6FD5qZfXIYRZGRaYboEa28,"29.42168539999999, -98.56200229999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Las Americas Latin Market,ChIJgQwfH-xfXIYRspxxxPCj9Rw,"29.499284, -98.4995667","['grocery_or_supermarket', 'supermarket', 'finance', 'travel_agency', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Walmart Supercenter,ChIJO5MSdFX1XIYRuwOiZ7cZwGQ,"29.5147654, -98.4818457","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",18,0,0,0,0,0
A1 Auto Complete Automotive Repair,ChIJK7ZNrgZcXIYRwWPk3qb06OQ,"29.424752, -98.5780896","['car_repair', 'point_of_interest', 'establishment']",18,0,0,0,0,0
Advance Auto Parts,ChIJcReE1nP3XIYRnX4_sSQbNq0,"29.3546767, -98.43250169999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Panda Express,ChIJ5UIjwrRZXIYRCdwgCT1b_Cs,"29.3571489, -98.5290629","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Jefe's Auto Inspection,ChIJYbTKfgFcXIYRVZCTksUFjfI,"29.4258395, -98.57374639999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJYbTKfgFcXIYRjdp7-WIJBDI,"29.4285622, -98.5664528","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
Subway,ChIJnY1co3H3XIYRhSbLZxzDPVk,"29.3523282, -98.43165069999999","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
The Door Christian Fellowship Church,ChIJRYnjhlFZXIYRnOZJLCa9C1Q,"29.4147666, -98.56342649999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Walmart Supercenter,ChIJdxOZWUfzXIYRdsmOnI4py3g,"29.50802949999999, -98.37504200000001","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
Electronics 2000,ChIJ-7Y87u5fXIYRTvNk7PZAh_Y,"29.50154319999999, -98.498898","['electronics_store', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
