name,place ID,coordinates,business types,n_restaurants,n_grocery,n_retail,n_entertainment,n_religious,n_industry
"Stewart & Stevenson | San Antonio, TX",ChIJycBI9-bzXIYRU1QEUfV3UMc,"29.440578, -98.37808299999999","['car_repair', 'point_of_interest', 'store', 'establishment']",4,0,0,0,0,0
Take 5 Oil Change,ChIJfRxJ_9_3XIYRpdLqW7wCKFE,"29.3567912, -98.484168","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Rosario's Mexican Cafe Y Cantina (Southtown),ChIJEdIctahYXIYRXiT7Ak7uKYQ,"29.4153307, -98.4895943","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Little Caesars Pizza,ChIJyT9j5Xb3XIYRNtOuEVs_LyM,"29.3516, -98.43673000000001","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Wingstop,ChIJEzvto7ZZXIYRGmIpDhRfkn4,"29.3583995, -98.53264209999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,1,0,0
St Gabriel Catholic Church,ChIJX1H4iAdcXIYRq29cdb8tA1w,"29.4195467, -98.5804411","['church', 'place_of_worship', 'point_of_interest', 'establishment']",14,0,0,0,0,0
Oscar's Automotive,ChIJExxTBqf3XIYR_YaE_Dbuxf0,"29.367713, -98.442568","['car_repair', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Believers Christian Center,ChIJQWgW2Lf2XIYRABFibKutczY,"29.4084199, -98.405396","['church', 'place_of_worship', 'point_of_interest', 'establishment']",11,0,0,0,0,0
Family Dollar,ChIJCf-KsmhZXIYRalVydE5F4qU,"29.362628, -98.53459629999999","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
Whole Foods Market,ChIJ7See-2D1XIYRHiz_DH2gQx0,"29.4957603, -98.4808168","['grocery_or_supermarket', 'supermarket', 'food', 'health', 'point_of_interest', 'store', 'establishment']",20,0,1,1,0,0
Church Peace Apostolic,ChIJ10CRIBpcXIYR-Af4XSHGzZw,"29.436694, -98.58148399999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",3,0,0,0,0,0
